Date Part,Data Value,Date (Months),Date (Quarters),Date (Years),Date,Indicator (group),Indicator1,Month,Number of Records,State Name1,Year
1/1/2015,14016,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maine,2015
1/1/2016,14059,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maine,2016
1/1/2017,14362,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maine,2017
1/1/2015,238,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maine,2015
1/1/2016,327,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maine,2016
1/1/2017,355,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maine,2017
1/1/2015,209,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Maine,2015
1/1/2016,273,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Maine,2016
1/1/2017,309,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Maine,2017
1/1/2015,99.15966387,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Maine,2015
1/1/2016,98.77675841,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Maine,2016
1/1/2017,98.30985915,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Maine,2017
1/1/2015,22,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Maine,2015
1/1/2016,26,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Maine,2016
1/1/2017,31,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Maine,2017
1/1/2015,80,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maine,2015
1/1/2016,154,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maine,2016
1/1/2017,229,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maine,2017
1/1/2015,94937,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Michigan,2015
1/1/2016,93472,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Michigan,2016
1/1/2017,95264,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Michigan,2017
1/1/2015,2012,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Michigan,2015
1/1/2016,1926,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Michigan,2016
1/1/2017,2047,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Michigan,2017
1/1/2015,42770,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Minnesota,2015
1/1/2016,42535,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Minnesota,2016
1/1/2017,43830,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Minnesota,2017
1/1/2015,544,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Minnesota,2015
1/1/2016,649,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Minnesota,2016
1/1/2017,685,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Minnesota,2017
1/1/2015,62053,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Missouri,2015
1/1/2016,61135,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Missouri,2016
1/1/2017,63452,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Missouri,2017
1/1/2015,1116,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Missouri,2015
1/1/2016,1157,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Missouri,2016
1/1/2017,1383,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Missouri,2017
1/1/2015,30703,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Mississippi,2015
1/1/2016,30689,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Mississippi,2016
1/1/2017,31028,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Mississippi,2017
1/1/2015,329,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Mississippi,2015
1/1/2016,320,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Mississippi,2016
1/1/2017,314,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Mississippi,2017
1/1/2015,9669,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Montana,2015
1/1/2016,9863,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Montana,2016
1/1/2017,10296,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Montana,2017
1/1/2015,132,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Montana,2015
1/1/2016,121,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Montana,2016
1/1/2017,123,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Montana,2017
1/1/2015,254,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,North Carolina,2015
1/1/2016,420,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,North Carolina,2016
1/1/2017,530,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,North Carolina,2017
1/1/2015,323,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,North Carolina,2015
1/1/2016,463,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,North Carolina,2016
1/1/2017,503,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,North Carolina,2017
1/1/2015,126,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,North Carolina,2015
1/1/2016,113,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,North Carolina,2016
1/1/2017,102,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,North Carolina,2017
1/1/2015,500,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,North Carolina,2015
1/1/2016,602,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,North Carolina,2016
1/1/2017,489,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,North Carolina,2017
1/1/2015,89238,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Carolina,2015
1/1/2016,90010,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Carolina,2016
1/1/2017,92926,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Carolina,2017
1/1/2015,1406,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Carolina,2015
1/1/2016,1792,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Carolina,2016
1/1/2017,1887,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Carolina,2017
1/1/2015,1061,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,North Carolina,2015
1/1/2016,1361,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,North Carolina,2016
1/1/2017,1473,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,North Carolina,2017
1/1/2015,93.10099573,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,North Carolina,2015
1/1/2016,95.25669643,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,North Carolina,2016
1/1/2017,96.9263381,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,North Carolina,2017
1/1/2015,49,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,North Carolina,2015
1/1/2016,82,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,North Carolina,2016
1/1/2017,126,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,North Carolina,2017
1/1/2015,257,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,North Carolina,2015
1/1/2016,455,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,North Carolina,2016
1/1/2017,760,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,North Carolina,2017
1/1/2015,6988,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Dakota,2015
1/1/2016,6714,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Dakota,2016
1/1/2017,6972,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,North Dakota,2017
1/1/2015,71,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Dakota,2015
1/1/2016,65,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Dakota,2016
1/1/2017,81,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,North Dakota,2017
1/1/2015,16799,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nebraska,2015
1/1/2016,16288,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nebraska,2016
1/1/2017,17047,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nebraska,2017
1/1/2015,130,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nebraska,2015
1/1/2016,118,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nebraska,2016
1/1/2017,120,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nebraska,2017
1/1/2015,49,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,New Hampshire,2015
1/1/2016,41,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,New Hampshire,2016
1/1/2017,51,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,New Hampshire,2017
1/1/2015,99,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,New Hampshire,2015
1/1/2016,51,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,New Hampshire,2016
1/1/2017,27,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,New Hampshire,2017
1/1/2015,25,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,New Hampshire,2015
1/1/2016,29,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,New Hampshire,2016
1/1/2017,17,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,New Hampshire,2017
1/1/2015,76,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Hampshire,2015
1/1/2016,70,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Hampshire,2016
1/1/2017,55,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Hampshire,2017
1/1/2015,11644,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Hampshire,2015
1/1/2016,11531,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Hampshire,2016
1/1/2017,12159,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Hampshire,2017
1/1/2015,416,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Hampshire,2015
1/1/2016,428,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Hampshire,2016
1/1/2017,455,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Hampshire,2017
1/1/2015,378,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,New Hampshire,2015
1/1/2016,389,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,New Hampshire,2016
1/1/2017,415,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,New Hampshire,2017
1/1/2015,99.75961538,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,New Hampshire,2015
1/1/2016,99.06542056,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,New Hampshire,2016
1/1/2017,99.12087912,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,New Hampshire,2017
1/1/2015,9,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,New Hampshire,2015
1/1/2016,4,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,New Hampshire,2016
1/1/2017,12,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,New Hampshire,2017
1/1/2015,252,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Hampshire,2015
1/1/2016,301,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Hampshire,2016
1/1/2017,363,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Hampshire,2017
1/1/2015,71384,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Jersey,2015
1/1/2016,70249,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Jersey,2016
1/1/2017,73811,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Jersey,2017
1/1/2015,1305,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Jersey,2015
1/1/2016,1651,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Jersey,2016
1/1/2017,2280,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Jersey,2017
1/1/2015,57,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,New Mexico,2015
1/1/2016,51,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,New Mexico,2016
1/1/2017,57,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,New Mexico,2017
1/1/2015,154,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,New Mexico,2015
1/1/2016,151,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,New Mexico,2016
1/1/2017,163,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,New Mexico,2017
1/1/2015,39,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,New Mexico,2015
1/1/2016,44,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,New Mexico,2016
1/1/2017,36,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,New Mexico,2017
1/1/2015,189,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Mexico,2015
1/1/2016,159,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Mexico,2016
1/1/2017,161,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New Mexico,2017
1/1/2015,17045,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Mexico,2015
1/1/2016,17533,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Mexico,2016
1/1/2017,17831,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New Mexico,2017
1/1/2015,519,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Mexico,2015
1/1/2016,491,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Mexico,2016
1/1/2017,497,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New Mexico,2017
1/1/2015,375,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,New Mexico,2015
1/1/2016,354,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,New Mexico,2016
1/1/2017,345,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,New Mexico,2017
1/1/2015,96.91714836,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,New Mexico,2015
1/1/2016,97.96334012,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,New Mexico,2016
1/1/2017,98.39034205,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,New Mexico,2017
1/1/2015,125,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,New Mexico,2015
1/1/2016,114,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,New Mexico,2016
1/1/2017,158,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,New Mexico,2017
1/1/2015,61,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2015
1/1/2016,57,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2016
1/1/2017,69,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2017
1/1/2015,39,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Nevada,2015
1/1/2016,39,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Nevada,2016
1/1/2017,55,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Nevada,2017
1/1/2015,84,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Nevada,2015
1/1/2016,92,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Nevada,2016
1/1/2017,98,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Nevada,2017
1/1/2015,57,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Nevada,2015
1/1/2016,58,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Nevada,2016
1/1/2017,51,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Nevada,2017
1/1/2015,242,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2015
1/1/2016,266,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2016
1/1/2017,231,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2017
1/1/2015,23228,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2015
1/1/2016,24153,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2016
1/1/2017,25358,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2017
1/1/2015,619,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2015
1/1/2016,691,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2016
1/1/2017,734,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2017
1/1/2015,412,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2015
1/1/2016,446,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2016
1/1/2017,419,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2017
1/1/2015,95.47657512,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2015
1/1/2016,96.67149059,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2016
1/1/2017,98.91008174,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2017
1/1/2015,166,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Nevada,2015
1/1/2016,219,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Nevada,2016
1/1/2017,284,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Nevada,2017
1/1/2015,30,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2015
1/1/2016,44,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2016
1/1/2017,58,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2017
1/1/2015,326,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,New York,2015
1/1/2016,420,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,New York,2016
1/1/2017,577,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,New York,2017
1/1/2015,593,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,New York,2015
1/1/2016,753,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,New York,2016
1/1/2017,738,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,New York,2017
1/1/2015,120,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,New York,2015
1/1/2016,124,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,New York,2016
1/1/2017,114,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,New York,2017
1/1/2015,434,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2015
1/1/2016,543,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2016
1/1/2017,547,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2017
